totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
10.01677,610.4888, 10.01712,0.05376717, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.489, 10.01712,0.1144424, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4891, 10.01712,159.6817, 0, 252.5, 0,0,4,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4893, 10.01712,0.1317343, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4894, 10.01712,0.0728294, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4896, 10.01712,0.05550715, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4897, 10.01712,0.1005407, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4899, 10.01712,0.2016208, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.49, 10.01712,0.1265387, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4901, 10.01712,0.08935229, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4903, 10.01712,5.72527, 0, 252.5, 0,0,5,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4904, 10.01712,0.07429913, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4905, 10.01712,0.2706974, 0, 252.5, 0,0,2,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4907, 10.01712,0.116858, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4908, 10.01712,0.0868944, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.491, 10.01712,9.489753, 0, 252.5, 0,0,4,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4911, 10.01712,0.08104122, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4913, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4914, 10.01712,0.1047245, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4915, 10.01712,0.1167158, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4917, 10.01712,0.08092356, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4918, 10.01712,0.4509691, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4919, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4921, 10.01712,0.08697207, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4922, 10.01712,0.2084055, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4924, 10.01712,0.2500876, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4925, 10.01712,2.767788, 0, 252.5, 0,0,2,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4926, 10.01712,0.08103783, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4927, 10.01712,0.117563, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4929, 10.01712,0.1285411, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.493, 10.01712,1.773959, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4932, 10.01712,0.07454167, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4933, 10.01712,0.1500779, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4934, 10.01712,0.1250037, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4935, 10.01712,0.07426021, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4937, 10.01712,0.05552349, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4938, 10.01712,0.1237706, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.494, 10.01712,0.1200929, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4941, 10.01712,0.06230816, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4943, 10.01712,1.686332, 0, 252.5, 0,0,1,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4944, 10.01712,1772086, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4945, 10.01712,0.0555205, 0, 252.5, 0,0,0,0,0,10.01712, 0, 0,0, 0, 0, 0
10.01677,610.4946, 10.01712,0.19552, 0, 252.5, 0,1,0,0,0,10.01712, 0, 0,0, 0, 0, 0
