totalTimeinminsoFar, realtimeSinceStartup, Total Time Stopped, Total Distance Travelled, Avg Speed, Speed Limit, Total Serious Collision Count,Total Vehicle-Vehicle Collision Count,Total Non-Vehicle Collision Count, Non-Collision Destroyed, No. Of Stops Passed Through, Avg Time in speed0-5mph,Avg Time in speed5-10mph,Avg Time in speed10-15mph,Avg Time in speed15-20mph, Avg Time in speed20-25mph, Avg Time in speed25-30mph, Avg Time in speed30-35mph
1.249,84.80032, 1.000407,85.72011, 0.009575524, 31.57842, 0,0,0,1,0,1.010719, 0.01229636, 0.01654951,0.0220125, 0.176012, 0.0116755, 0
1.343333,90.46346, 1.000333,127.7882, 0.01312236, 28.61797, 0,0,0,1,0,1.010558, 0.01199939, 0.01553189,0.0202191, 0.1922629, 0.09305669, 0
1.447333,96.69981, 1.000268,164.8738, 0.01583716, 30.85978, 0,0,0,1,0,1.010472, 0.01221597, 0.01436273,0.0201143, 0.3662578, 0.02417093, 0
1.459,97.40161, 1.000333,170.8257, 0.01627409, 30.66563, 0,0,0,1,1,1.009784, 0.01232386, 0.01513163,0.01851883, 0.355877, 0.04766169, 0
1.472,98.1778, 1.000143,180.879, 0.01705607, 27.53284, 0,0,0,1,0,1.009692, 0.01208563, 0.01432359,0.02091562, 0.2666151, 0.1485014, 0
1.483667,98.88058, 1.203473,86.90838, 0.008159515, 25.14918, 0,0,0,1,0,1.221026, 0.02398423, 0.02901186,0.04448904, 0.1499715, 0.01545092, 0
1.484333,98.92699, 1.000364,173.8207, 0.01635673, 25.03205, 0,0,0,1,0,1.016421, 0.01940982, 0.02527969,0.04011836, 0.306542, 0.07686259, 0
1.519333,101.0172, 1.496353,3.058409, 0.0001454738, 27.00988, 0,0,1,1,0,1.507248, 0.01024225, 0.002060831,0, 0, 0, 0
1.556333,103.2427, 1.20344,113.8111, 0.009685063, 25.1024, 0,0,0,1,0,1.221377, 0.02457279, 0.02959284,0.04083331, 0.2401987, 0, 0
1.571,104.1226, 1.120759,133.3977, 0.01146843, 24.64152, 0,0,0,1,0,1.152138, 0.03894389, 0.05508808,0.101294, 0.2060374, 0.01780885, 0
1.618333,106.9585, 1.489716,26.38543, 0.002131591, 27.87392, 0,2,1,1,0,1.508604, 0.0314878, 0.02602682,0.03897034, 0.01346605, 0, 0
1.644333,108.5227, 1.644634,0.6334548, 0, 31.49855, 1,0,2,0,0,1.644634, 0, 0,0, 0, 0, 0
1.665,109.7607, 1.665259,34.39596, 0, 27.7544, 1,0,4,0,0,1.665259, 0, 0,0, 0, 0, 0
1.674,110.3018, 1.67431,0.286454, 0, 27.93464, 1,0,1,0,0,1.67431, 0, 0,0, 0, 0, 0
1.738333,114.1615, 1.24991,150.9459, 0.01207401, 29.27915, 0,0,0,1,0,1.281411, 0.04227676, 0.05575065,0.08275191, 0.2347595, 0.04164987, 0
1.906,124.222, 1.276648,231.8657, 0.01643202, 29.04673, 0,0,0,1,0,1.294961, 0.0239532, 0.02970044,0.03955754, 0.3468773, 0.1712537, 0
2.019,131.0031, 1.504875,176.6428, 0.01235681, 32.07716, 0,2,0,1,0,1.52856, 0.02748603, 0.03266438,0.04987276, 0.3437551, 0.03698548, 0
2.031,131.719, 1.034602,373.6993, 0.02537473, 25.74398, 0,0,0,1,0,1.051472, 0.02368059, 0.02571431,0.01995051, 0.8229235, 0.08750753, 0
2.031333,131.7385, 1.229829,295.5681, 0.01984486, 32.4359, 0,0,0,1,0,1.245983, 0.02376643, 0.02798305,0.03691734, 0.5978696, 0.09906355, 0
2.031667,131.7604, 1.312869,254.9677, 0.01703358, 27.2825, 0,0,0,1,0,1.331203, 0.03575644, 0.04555063,0.04313217, 0.530175, 0.04609914, 0
2.041,132.3177, 1.7672,88.39148, 0.005960775, 29.42702, 0,0,1,1,0,1.786467, 0.02223495, 0.0275278,0.02313289, 0.1639585, 0.01790495, 0
2.069,134.0012, 1.773868,93.20744, 0.006359073, 26.57492, 0,0,0,1,0,1.791607, 0.02318444, 0.02769712,0.04169508, 0.1787395, 0.006373189, 0
2.078666,134.5794, 1.733188,104.8243, 0.007011145, 25.47066, 0,0,0,1,0,1.760247, 0.03558999, 0.04325559,0.04872238, 0.1642674, 0.02677132, 0
2.088333,135.1647, 1.736001,105.1771, 0.00702845, 28.84295, 0,0,0,1,0,1.762846, 0.03583134, 0.0421683,0.05877028, 0.1727626, 0.01627998, 0
2.089333,135.2204, 1.564457,150.7423, 0.01004314, 30.85729, 0,0,0,1,0,1.607652, 0.0607425, 0.07210085,0.07957204, 0.2642264, 0.005318583, 0
2.094333,135.5224, 1.767588,106.0398, 0.006973339, 25.97838, 0,0,0,1,0,1.789043, 0.02660587, 0.03593092,0.03590067, 0.1342392, 0.07292563, 0
